ENSG00000002587 HS3ST1
ENSG00000152253 SPC25
ENSG00000152270 PDE3B
ENSG00000152332 UHMK1
ENSG00000152439 ZNF773
ENSG00000152795 HNRNPDL
ENSG00000153046 CDYL
ENSG00000153066 TXNDC11
ENSG00000153214 TMEM87B
ENSG00000153363 LINC00467
ENSG00000153395 LPCAT1
ENSG00000153551 CMTM7
ENSG00000153721 CNKSR3
ENSG00000153827 TRIP12
ENSG00000153885 KCTD15
ENSG00000153933 DGKE
ENSG00000154429 CCSAP
ENSG00000154529 CNTNAP3B
ENSG00000154710 RABGEF1
ENSG00000154719 MRPL39
ENSG00000154975 CA10
ENSG00000155158 TTC39B
ENSG00000155545 MIER3
ENSG00000155761 SPAG17
ENSG00000155974 GRIP1
ENSG00000156299 TIAM1
ENSG00000156374 PCGF6
ENSG00000156671 SAMD8
ENSG00000156675 RAB11FIP1
ENSG00000157036 EXOG
ENSG00000157110 RBPMS
ENSG00000157259 GATAD1
ENSG00000157483 MYO1E
ENSG00000157625 TAB3
ENSG00000157978 LDLRAP1
ENSG00000157992 KRTCAP3
ENSG00000158079 PTPDC1
ENSG00000158109 TPRG1L
ENSG00000158122 PRXL2C
ENSG00000158769 F11R
ENSG00000158882 TOMM40L
ENSG00000160305 DIP2A
ENSG00000160318 CLDND2
ENSG00000160410 SHKBP1
ENSG00000160703 NLRX1
ENSG00000160961 ZNF333
ENSG00000162373 BEND5
ENSG00000162441 LZIC
ENSG00000162493 PDPN
ENSG00000162601 MYSM1
ENSG00000162772 ATF3
ENSG00000162804 SNED1
ENSG00000162885 B3GALNT2
ENSG00000162889 MAPKAPK2
ENSG00000162924 REL
ENSG00000162976 SLC66A3
ENSG00000163064 EN1
ENSG00000163071 SPATA18
ENSG00000163281 GNPDA2
ENSG00000163320 CGGBP1
ENSG00000163344 PMVK
ENSG00000163629 PTPN13
ENSG00000163630 SYNPR
ENSG00000163635 ATXN7
ENSG00000163754 GYG1
ENSG00000163932 PRKCD
ENSG00000163950 SLBP
ENSG00000163961 RNF168
ENSG00000164128 NPY1R
ENSG00000164237 CMBL
ENSG00000164244 PRRC1
ENSG00000164253 WDR41
ENSG00000164318 EGFLAM
ENSG00000164346 NSA2
ENSG00000164483 SAMD3
ENSG00000164610 RP9
ENSG00000164631 ZNF12
ENSG00000164938 TP53INP1
ENSG00000164949 GEM
ENSG00000165028 NIPSNAP3B
ENSG00000165029 ABCA1
ENSG00000165097 KDM1B
ENSG00000165195 PIGA
ENSG00000165264 NDUFB6
ENSG00000165379 LRFN5
ENSG00000165389 SPTSSA
ENSG00000165572 KBTBD6
ENSG00000165661 QSOX2
ENSG00000165813 CCDC186
ENSG00000165891 E2F7
ENSG00000165959 CLMN
ENSG00000166068 SPRED1
ENSG00000166135 HIF1AN
ENSG00000166145 SPINT1
ENSG00000166326 TRIM44
ENSG00000166377 ATP9B
ENSG00000166446 CDYL2
ENSG00000166471 TMEM41B
ENSG00000166503 HDGFL3
ENSG00000166532 RIMKLB
ENSG00000166900 STX3
ENSG00000166922 SCG5
ENSG00000167216 KATNAL2
ENSG00000167272 POP5
ENSG00000167523 SPATA33
ENSG00000167619 TMEM145
ENSG00000168275 COA6
ENSG00000168385 SEPTIN2
ENSG00000168477 TNXB
ENSG00000168765 GSTM4
ENSG00000168884 TNIP2
ENSG00000168890 TMEM150A
ENSG00000169155 ZBTB43
ENSG00000169612 RAMAC
ENSG00000169641 LUZP1
ENSG00000169925 BRD3
ENSG00000169967 MAP3K2
ENSG00000170145 SIK2
ENSG00000170248 PDCD6IP
ENSG00000170322 NFRKB
ENSG00000170860 LSM3
ENSG00000170891 CYTL1
ENSG00000170949 ZNF160
ENSG00000171100 MTM1
ENSG00000171189 GRIK1
ENSG00000171357 LURAP1
ENSG00000171388 APLN
ENSG00000171574 ZNF584
ENSG00000171606 ZNF274
ENSG00000171928 TVP23B
ENSG00000171970 ZNF57
ENSG00000172057 ORMDL3
ENSG00000172071 EIF2AK3
ENSG00000172197 MBOAT1
ENSG00000172345 STARD5
ENSG00000172456 FGGY
ENSG00000172469 MANEA
ENSG00000172554 SNTG2
ENSG00000172671 ZFAND4
ENSG00000172939 OXSR1
ENSG00000173209 AHSA2P
ENSG00000173258 ZNF483
ENSG00000173442 EHBP1L1
ENSG00000173559 NABP1
ENSG00000173575 CHD2
ENSG00000173889 PHC3
ENSG00000174010 KLHL15
ENSG00000174013 FBXO45
ENSG00000174080 CTSF
ENSG00000174227 PIGG
ENSG00000174600 CMKLR1
ENSG00000174721 FGFBP3
ENSG00000175161 CADM2
ENSG00000175224 ATG13
ENSG00000175279 CENPS
ENSG00000175309 PHYKPL
ENSG00000175467 SART1
ENSG00000175548 ALG10B
ENSG00000176020 AMIGO3
ENSG00000176170 SPHK1
ENSG00000176658 MYO1D
ENSG00000176845 METRNL
ENSG00000176994 SMCR8
ENSG00000177432 NAP1L5
ENSG00000177606 JUN
ENSG00000177731 FLII
ENSG00000177788 AL162595.1
ENSG00000177990 DPY19L2
ENSG00000178078 STAP2
ENSG00000178093 TSSK6
ENSG00000178665 ZNF713
ENSG00000178764 ZHX2
ENSG00000179348 GATA2
ENSG00000179862 CITED4
ENSG00000179889 PDXDC1
ENSG00000179915 NRXN1
ENSG00000180182 MED14
ENSG00000180389 ATP5F1EP2
ENSG00000180574 EIF2S3B
ENSG00000180616 SSTR2
ENSG00000181638 ZFP41
ENSG00000182149 IST1
ENSG00000182318 ZSCAN22
ENSG00000182362 YBEY
ENSG00000182504 CEP97
ENSG00000182752 PAPPA
ENSG00000182912 TSPEAR-AS2
ENSG00000183077 AFMID
ENSG00000183474 GTF2H2C
ENSG00000183597 TANGO2
ENSG00000183605 SFXN4
ENSG00000183628 DGCR6
ENSG00000183723 CMTM4
ENSG00000184113 CLDN5
ENSG00000184162 NR2C2AP
ENSG00000184436 THAP7
ENSG00000184470 TXNRD2
ENSG00000184524 CEND1
ENSG00000184702 SEPTIN5
ENSG00000184863 RBM33
ENSG00000184898 RBM43
ENSG00000185008 ROBO2
ENSG00000185100 ADSSL1
ENSG00000185220 PGBD2
ENSG00000185252 ZNF74
ENSG00000185379 RAD51D
ENSG00000185418 TARSL2
ENSG00000185499 MUC1
ENSG00000185522 LMNTD2
ENSG00000185608 MRPL40
ENSG00000185684 EP400P1
ENSG00000185753 CXorf38
ENSG00000185774 KCNIP4
ENSG00000185838 GNB1L
ENSG00000185947 ZNF267
ENSG00000186272 ZNF17
ENSG00000186352 ANKRD37
ENSG00000186603 HPDL
ENSG00000186767 SPIN4
ENSG00000186815 TPCN1
ENSG00000186994 KANK3
ENSG00000187554 TLR5
ENSG00000187608 ISG15
ENSG00000187713 TMEM203
ENSG00000187987 ZSCAN23
ENSG00000188107 EYS
ENSG00000188321 ZNF559
ENSG00000188542 DUSP28
ENSG00000188687 SLC4A5
ENSG00000188730 VWC2
ENSG00000189060 H1F0
ENSG00000189067 LITAF
ENSG00000196074 SYCP2
ENSG00000196169 KIF19
ENSG00000196172 ZNF681
ENSG00000196177 ACADSB
ENSG00000196199 MPHOSPH8
ENSG00000196214 ZNF766
ENSG00000196371 FUT4
ENSG00000196381 ZNF781
ENSG00000196391 ZNF774
ENSG00000196482 ESRRG
ENSG00000196502 SULT1A1
ENSG00000196505 GDAP2
ENSG00000196678 ERI2
ENSG00000196696 AC009022.1
ENSG00000196821 ILRUN
ENSG00000196839 ADA
ENSG00000197006 METTL9
ENSG00000197217 ENTPD4
ENSG00000197372 ZNF675
ENSG00000197410 DCHS2
ENSG00000197584 KCNMB2
ENSG00000197594 ENPP1
ENSG00000197724 PHF2
ENSG00000197769 MAP1LC3C
ENSG00000197948 FCHSD1
ENSG00000198000 NOL8
ENSG00000198105 ZNF248
ENSG00000198408 OGA
ENSG00000198673 TAFA2
ENSG00000198677 TTC37
ENSG00000198739 LRRTM3
ENSG00000198742 SMURF1
ENSG00000198873 GRK5
ENSG00000198929 NOS1AP
ENSG00000198934 MAGEE1
ENSG00000198961 PJA2
ENSG00000204116 CHIC1
ENSG00000204131 NHSL2
ENSG00000204147 ASAH2B
ENSG00000204175 GPRIN2
ENSG00000204219 TCEA3
ENSG00000204351 SKIV2L
ENSG00000204388 HSPA1B
ENSG00000204396 VWA7
ENSG00000204592 HLA-E
ENSG00000204946 ZNF783
ENSG00000205213 LGR4
ENSG00000205352 PRR13
ENSG00000205542 TMSB4X
ENSG00000205885 C1RL-AS1
ENSG00000206503 HLA-A
ENSG00000206561 COLQ
ENSG00000206573 THUMPD3-AS1
ENSG00000213020 ZNF611
ENSG00000213123 TCTEX1D2
ENSG00000213516 RBMXL1
ENSG00000213996 TM6SF2
ENSG00000214078 CPNE1
ENSG00000214367 HAUS3
ENSG00000214946 TBC1D26
ENSG00000215012 RTL10
ENSG00000215193 PEX26
ENSG00000215301 DDX3X
ENSG00000215472 RPL17-C18orf32
ENSG00000221968 FADS3
ENSG00000224020 MIR181A2HG
ENSG00000224376 AC017104.1
ENSG00000224470 ATXN1L
ENSG00000225950 NTF4
ENSG00000225973 PIGBOS1
ENSG00000226686 LINC01535
ENSG00000227533 SLC2A1-AS1
ENSG00000228709 LINC02575
ENSG00000228727 SAPCD1
ENSG00000230513 THAP7-AS1
ENSG00000230733 AC092171.2
ENSG00000231064 AC234582.1
ENSG00000231955 AC007383.3
ENSG00000232104 RFX3-AS1
ENSG00000232119 MCTS1
ENSG00000232677 LINC00665
ENSG00000233461 AL445524.1
ENSG00000234431 AC007283.1
ENSG00000234630 AC245060.2
ENSG00000234684 SDCBP2-AS1
ENSG00000235280 MCF2L-AS1
ENSG00000235890 TSPEAR-AS1
ENSG00000236540 AC006547.1
ENSG00000236782 AL391650.1
ENSG00000236901 MIR600HG
ENSG00000237015 AL031186.1
ENSG00000237517 DGCR5
ENSG00000239415 AP001469.3
ENSG00000240857 RDH14
ENSG00000241343 RPL36A
ENSG00000241472 PTPRG-AS1
ENSG00000241945 PWP2
ENSG00000241973 PI4KA
ENSG00000242259 C22orf39
ENSG00000244274 DBNDD2
ENSG00000244486 SCARF2
ENSG00000245060 LINC00847
ENSG00000245694 CRNDE
ENSG00000247121 AC009126.1
ENSG00000247228 AC009060.1
ENSG00000247416 AP000802.1
ENSG00000249471 ZNF324B
ENSG00000249853 HS3ST5
ENSG00000250644 AC068580.4
ENSG00000250988 SNHG21
ENSG00000251602 AL928654.1
ENSG00000254585 MAGEL2
ENSG00000254815 AP006284.1
ENSG00000254870 ATP6V1G2-DDX39B
ENSG00000254901 BORCS8
ENSG00000254911 SCARNA9
ENSG00000254996 ANKHD1-EIF4EBP3
ENSG00000255072 PIGY
ENSG00000255112 CHMP1B
ENSG00000255423 EBLN2
ENSG00000255458 AC108471.2
ENSG00000255561 FDXACB1
ENSG00000256569 AC069234.3
ENSG00000257594 GALNT4
ENSG00000257918 AC079385.3
ENSG00000258498 DIO3OS
ENSG00000258515 AL355075.2
ENSG00000258584 FAM181A-AS1
ENSG00000259129 LINC00648
ENSG00000259244 AC048382.2
ENSG00000259305 ZHX1-C8orf76
ENSG00000259905 PWRN1
ENSG00000259969 AL049838.1
ENSG00000259985 AC017100.1
ENSG00000260351 AC024270.2
ENSG00000260400 AL513534.2
ENSG00000260579 AC024270.3
ENSG00000260948 AL390195.2
ENSG00000261101 AC234775.3
ENSG00000261114 AC012181.1
ENSG00000261168 AL592424.1
ENSG00000261586 AC068987.3
ENSG00000263165 AC087292.1
ENSG00000263335 AF001548.2
ENSG00000264112 AC015813.1
ENSG00000266490 AC127024.5
ENSG00000267011 AC011498.1
ENSG00000267106 ZNF561-AS1
ENSG00000267165 CHMP1B-AS1
ENSG00000267278 MAP3K14-AS1
ENSG00000267510 AC011451.1
ENSG00000267519 AC020916.1
ENSG00000268006 PTOV1-AS1
ENSG00000268471 MIR4453HG
ENSG00000269825 AC022150.4
ENSG00000269918 AF131215.6
ENSG00000270049 AC009061.2
ENSG00000270084 GAS5-AS1
ENSG00000270091 AC015726.1
ENSG00000271265 AL355297.3
ENSG00000271976 AC012467.2
ENSG00000272277 AL031963.3
ENSG00000272372 AC009102.2
ENSG00000272420 AL513477.2
