Gene Title	Gene Symbol	FDR-	FoldChange 
"chaperone, ABC1 activity of bc1 complex homolog (S. pombe)"	CABC1	0.034847	1.22083
cache domain containing 1	CACHD1	0.0407981	1.33595
cell adhesion molecule 4	CADM4	0.0153455	1.2703
calmodulin regulated spectrin-associated protein 1	CAMSAP1	0.0256249	1.29871
cell cycle associated protein 1	CAPRIN1	0.0167031	1.25448
"calcium regulated heat stable protein 1, 24kDa"	CARHSP1	0.00169578	1.26777
caspase 8 associated protein 2	CASP8AP2	0.0402576	1.40339
coiled-coil domain containing 48	CCDC48	0.0214467	1.54915
coiled-coil domain containing 57	CCDC57	0.0380203	1.26212
coiled-coil domain containing 84	CCDC84	0.0397862	1.42356
Coiled-coil domain containing 88A	CCDC88A	0.0424327	1.6581
coiled-coil domain containing 93	CCDC93	0.0118526	1.32144
cyclin A2	CCNA2	0.0229254	1.49354
cyclin B3	CCNB3	0.0397244	1.21798
cyclin D1	CCND1	0.0364625	1.30273
cell division cycle associated 7-like	CDCA7L	0.0151647	1.98475
cell division cycle associated 8	CDCA8	0.00882372	1.30203
"cadherin 4, type 1, R-cadherin (retinal)"	CDH4	0.0494073	1.41221
"cadherin 7, type 2"	CDH7	0.0362029	1.80199
cyclin-dependent kinase 7	CDK7	0.036316	1.44397
CMT1A duplicated region transcript 1	CDRT1	0.0476485	1.26491
centrosomal protein 250kDa	CEP250	0.016161	1.22933
centrosomal protein 70kDa	CEP70	0.0276559	1.65178
cell growth regulator with ring fi nger domain 1	CGRRF1	0.03726	1.32568
"chromatin assembly factor 1, subunit B (p60)"	CHAF1B	0.00567397	1.20802
chromodomain helicase DNA binding protein 9	CHD9	0.000924315	1.71843
chromatin modifying protein 5	CHMP5	0.0449423	1.50386
carbohydrate (chondroitin 4) sulfotransferase 12	CHST12	0.0236761	1.81206
claudin 10	CLDN10	0.0275073	1.57865
CAP-GLY domain containing linker protein 1	CLIP1	0.0360745	1.45528
CKLF-like MARVEL transmembrane domain containing 1	CMTM1	0.0257437	1.43564
CKLF-like MARVEL transmembrane domain containing 3	CMTM3	0.0264048	1.23513
hypothetical protein LOC150384	CN5H6.4	0.0426893	1.22352
CNDP dipeptidase 2 (metallopeptidase M20 family)	CNDP2	0.0492007	1.2459
"Calponin 3, acidic"	CNN3	0.0216678	1.42511
component of oligomeric golgi complex 1	COG1	0.0433995	1.45465
"collagen, type XXVII, alpha 1"	COL27A1	0.0173052	2.24339
"collagen, type IV, alpha 6"	COL4A6	0.00742564	1.20841
"collagen, type VI, alpha 3"	COL6A3	0.0496206	1.30171
carboxypeptidase A6	CPA6	0.0236082	1.20232
cysteine-rich with EGF-like domains 2	CRELD2	0.0258648	1.76665
cysteine-rich PAK1 inhibitor	CRIPAK	0.0413155	1.5089
"crystallin, gamma S"	CRYGS	0.0158113	1.40146
CUB and Sushi multiple domains 2	CSMD2	0.00970386	1.39712
centrosome and spindle pole associated protein 1	CSPP1	0.0215201	1.72185
CSRP2 binding protein	CSRP2BP	0.0374447	2.03196
"Catenin (cadherin-associated protein), alpha 1, 102kDa"	CTNNA1	0.0328284	1.30722
chymotrypsin C (caldecrin)	CTRC	0.0244459	1.58044
cathepsin H	CTSH	0.0338838	2.1325
"CUG triplet repeat, RNA binding protein 2"	CUGBP2	0.00370713	1.22122
chromosome X open reading frame 30	CXorf30	0.00481456	1.20426
cytochrome b5 reductase 4	CYB5R4	0.0424092	1.33796
chromosome Y open reading frame 15B	CYorf15B	0.0319824	2.18731
"cytochrome P450, family 1, subfamily A, polypeptide 2"	CYP1A2	0.0252343	1.21222
"Cytochrome P450, family 2, subfamily R, polypeptide 1"	CYP2R1	0.000654117	1.88644
"cytochrome P450, family 3, subfamily A, polypeptide 43"	CYP3A43	0.0483557	1.23218
Dishevelled associated activator of morphogenesis 1	DAAM1	0.00331579	1.7823
DAZ associated protein 1	DAZAP1	0.0317483	1.39798
dachsous 1 (Drosophila)	DCHS1	0.0124432	1.39839
"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase homolog, S."	DDX11 /// DDX12 /// LOC642846	0.0458017	1.39157
DEAD (Asp-Glu-Ala-Asp) box polypeptide 18	DDX18	0.0415174	1.72583
DEAD (Asp-Glu-Ala-Asp) box polypeptide 54	DDX54	0.0293875	1.56929
DENN/MADD domain containing 5B	DENND5B	0.0128591	1.47643
"diacylglycerol kinase, iota"	DGKI	0.0160684	1.64225
dehydrogenase/reductase (SDR family) X-linked	DHRSX	0.018597	1.53527
disrupted in renal carcinoma 2	DIRC2	0.0054492	1.21725
"dyskeratosis congenita 1, dyskerin"	DKC1	0.0393739	1.48921
hypothetical DKFZp434F142	DKFZp434F142	0.00127832	1.24247
hypothetical protein DKFZp667E0512	DKFZp667E0512	0.0342137	1.28083
dickkopf homolog 4 (Xenopus laevis)	DKK4	0.0293995	1.23102
dihydrolipoamide S-acetyltransferase	DLAT	0.0296829	1.23682
deleted in liver cancer 1	DLC1	0.0306686	1.60583
"discs, large homolog 5 (Drosophila)"	DLG5	0.00551372	2.56638
"DnaJ (Hsp40) homolog, subfamily C, member 22"	DNAJC22	0.0403819	1.29726
DNM1 pseudogene 41	DNM1P41	0.0422744	1.37221
dynamin binding protein	DNMBP	0.0347905	1.26676
dihydropyrimidinase-like 4	DPYSL4	0.0433699	1.34482
DEAQ box RNA-dependent ATPase 1	DQX1	0.0427354	1.21882
deoxythymidylate kinase (thymidylate kinase)	DTYMK	0.0252396	1.44651
dihydrouridine synthase 4-like (S. cerevisiae)	DUS4L	0.0206544	1.36072
dual specifi city phosphatase 3	DUSP3	0.00929738	1.65641
dual specifi city phosphatase 4	DUSP4	0.00738662	4.52455
dual specifi city phosphatase 6	DUSP6	0.01487	2.28725
dual specifi city phosphatase 9	DUSP9	0.0421851	1.47084
"glutamyl-tRNA synthetase 2, mitochondrial (putative)"	EARS2	0.00772998	1.35572
ectodysplasin A	EDA	0.0309527	1.35976
EGF-containing fi bulin-like extracellular matrix protein 1	EFEMP1	0.01458	1.31157
ephrin-B2	EFNB2	0.029666	1.85079
elongation factor Tu GTP binding domain containing 1	EFTUD1	0.0307931	1.38101
epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncoge	EGFR	0.0245491	1.3602
Early growth response 1	EGR1	0.0435856	2.90765
EP300 interacting inhibitor of differentiation 1	EID1	0.0333545	1.57153
eukaryotic translation initiation factor 2-alpha kinase 2	EIF2AK2	0.0471489	1.20418
"eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa"	EIF2S2	0.0461478	1.24668
"eukaryotic translation initiation factor 3, subunit A"	EIF3A	0.0265747	1.39488
"eukaryotic translation initiation factor 3, subunit K"	EIF3K	0.012402	1.30122
"eukaryotic translation initiation factor 4 gamma, 3"	EIF4G3	0.0106584	1.4264
"ELK1, member of ETS oncogene family"	ELK1	0.0450893	1.62947
elongation protein 4 homolog (S. cerevisiae)	ELP4	0.0409028	1.35502
Echinoderm microtubule associated protein like 5	EML5	0.00327783	1.79793
ectodermal-neural cortex (with BTB-like domain)	ENC1	0.045941	2.00162
glutamyl-prolyl-tRNA synthetase	EPRS	0.00555879	1.62413
"excision repair cross-complementing rodent repair defi ciency, complementation gr"	ERCC1	0.043369	1.20383
ER lipid raft associated 1	ERLIN1	0.0478286	1.219
ets variant 1	ETV1	0.0324353	1.88131
ets variant 5	ETV5	0.049216	1.29763
even-skipped homeobox 1	EVX1	0.0354318	1.24777
exocyst complex component 7	EXOC7	0.0384675	1.49669
exosome component 1	EXOSC1	0.0335887	1.76137
exosome component 2	EXOSC2	0.0101973	1.24324
exosome component 3	EXOSC3	0.0440898	1.23302
eyes absent homolog 1 (Drosophila)	EYA1	0.0426324	1.30207
enhancer of zeste homolog 1 (Drosophila)	EZH1	0.0234304	1.23804
"fatty acid binding protein 7, brain"	FABP7	0.0269487	2.20608
fatty acid desaturase 1	FADS1	0.0195086	1.53548
fumarylacetoacetate hydrolase (fumarylacetoacetase)	FAH	0.0308237	1.35539
fumarylacetoacetate hydrolase domain containing 2A	FAHD2A	0.00489356	1.50974
fumarylacetoacetate hydrolase domain containing 2A /// fumarylacetoacetate hydro	FAHD2A /// FAHD2B	0.0104862	1.46209
"family with sequence similarity 111, member A"	FAM111A	0.0227579	1.45124
"family with sequence similarity 113, member A"	FAM113A	0.0132008	1.23222
family with sequence similarity 123A	FAM123A	0.0461402	1.98786
family with sequence similarity 124A	FAM124A	0.0426087	1.41468
"family with sequence similarity 132, member B"	FAM132B	0.0394446	1.22138
"family with sequence similarity 165, member B"	FAM165B	0.0238667	1.22275
"family with sequence similarity 76, member B"	FAM76B	0.0286819	1.30733
"family with sequence similarity 82, member A1"	FAM82A1	0.0185053	1.22256
"family with sequence similarity 87, member A /// family with sequence similarity"	FAM87A /// FAM87B	0.0399046	4.22443
"phenylalanyl-tRNA synthetase, beta subunit"	FARSB	0.00573397	1.57236
Fas-activated serine/threonine kinase	FASTK	0.0390661	1.24491
F-box protein 3	FBXO3	0.018973	1.70062
ferredoxin 1	FDX1	0.015411	1.3299
FEZ family zinc fi nger 2	FEZF2	0.0294616	2.18306
Fibroblast growth factor 22	FGF22	0.0251405	1.23502
fi broblast growth factor binding protein 2	FGFBP2	0.00570718	1.4042
formin homology 2 domain containing 1	FHOD1	0.0304418	1.35301
hypothetical gene supported by AL832565	FLJ30838	0.0466563	1.34489
hypothetical LOC143153	FLJ31958	0.0412356	1.25441
hypothetical gene supported by AK123449; BX641014	FLJ41455	0.0450473	1.42297
hypothetical LOC645460	FLJ44342	0.0301232	1.90442
formin-like 3	FMNL3	0.0363841	1.55666
FERM and PDZ domain containing 2 /// FERM and PDZ domain containing 	FRMPD2 /// FRMPD2L1 /// 	0.0424632	2.27124
2 like 1 ///	FRMPD2L2		
fi broblast growth factor receptor substrate 2	FRS2	0.0187076	1.30252
formiminotransferase cyclodeaminase	FTCD	0.0485877	1.53568
FtsJ homolog 1 (E. coli)	FTSJ1	0.0290244	1.56483
frizzled homolog 1 (Drosophila)	FZD1	0.0440033	1.26692
GTPase activating protein (SH3 domain) binding protein 1	G3BP1	0.00982876	1.43121
"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetas"	GART	0.0349586	1.45058
gem (nuclear organelle) associated protein 7	GEMIN7	0.0309865	1.39145
G kinase anchoring protein 1	GKAP1	0.00704005	1.71603
GLI family zinc fi nger 2	GLI2	0.0272564	1.20762
glycosyltransferase 25 domain containing 1	GLT25D1	0.0263163	1.56934
glycosyltransferase 25 domain containing 2	GLT25D2	0.0240631	2.44144
glycosyltransferase 8 domain containing 3	GLT8D3	0.0360987	1.20764
guanine nucleotide binding protein-like 2 (nucleolar)	GNL2	0.00512135	1.47131
"golgi autoantigen, golgin subfamily a, 7B"	GOLGA7B	0.0429923	1.44891
G patch domain containing 2	GPATCH2	0.0443214	1.67318
GC-rich promoter binding protein 1	GPBP1	0.0359328	1.6701
glycosylphosphatidylinositol specifi c phospholipase D1	GPLD1	0.010234	1.34417
G protein-coupled receptor 143	GPR143	0.0460264	1.3561
"glutamate receptor, ionotrophic, AMPA 3"	GRIA3	0.00428593	1.92286
gastrin-releasing peptide	GRP	0.0138677	1.31002
glycine/arginine rich protein 1	GRRP1	0.047627	1.43137
G1 to S phase transition 2	GSPT2	0.0313829	2.39153
general transcription factor IIB	GTF2B	0.00974813	1.77219
"general transcription factor IIF, polypeptide 2, 30kDa"	GTF2F2	0.00737255	1.26528
glycophorin B (MNS blood group)	GYPB	0.0261963	1.21364
"H2A histone family, member Y"	H2AFY	0.022433	1.20585
hyaluronan binding protein 4	HABP4	0.0104428	1.2528
hydroxyacyl-Coenzyme A dehydrogenase	HADH	0.0342817	1.44381
hydroxyacid oxidase 2 (long chain)	HAO2	0.00300796	1.27388
hepatitis A virus cellular receptor 2	HAVCR2	0.0375708	1.21559
"hemoglobin, mu"	HBM	0.00210631	1.41488
Hexaribonucleotide binding protein 3	hCG_1776007	0.0353569	1.33802
hCG1815504	hCG_1815504	0.0208517	1.22137
hCG2003663	hCG_2003663	0.0228243	2.10932
hCG25653	hCG_25653	0.0157094	1.28855
histone deacetylase 10	HDAC10	0.00868003	1.31291
hepatoma-derived growth factor-related protein 2	HDGF2	0.0432845	1.22713
hedgehog acyltransferase-like	HHATL	0.0383932	1.56278
"HIG1 hypoxia inducible domain family, member 2A"	HIGD2A	0.02785	1.34781
"Histone cluster 1, H4b"	HIST1H4B	0.0296309	1.2304
human immunodefi ciency virus type I enhancer binding protein 3	HIVEP3	0.0145798	1.69359
"major histocompatibility complex, class II, DO beta"	HLA-DOB	0.0206578	1.65272
HMG box domain containing 3	HMGXB3	0.0495036	1.22352
heterogeneous nuclear ribonucleoprotein L-like	HNRPLL	0.018014	1.32752
homeobox B6	HOXB6	0.039249	1.22889
hippocalcin like 4	HPCAL4	0.0416425	1.39788
hemopexin	HPX	0.00324008	1.28939
heparan sulfate (glucosamine) 3-O-sulfotransferase 1	HS3ST1	0.0330315	1.22639
hydroxysteroid (17-beta) dehydrogenase 7 /// hydroxysteroid (17-beta) dehydrogen	HSD17B7 /// HSD17B7P2	0.000618463	1.33068
heat shock 27kDa protein 1	HSPB1	0.0256632	2.36255
heat shock 27kDa protein 1 /// heat shock 27kDa protein-like 2 pseudogene	HSPB1 /// HSPBL2	0.0388766	1.55227
"HSPA (heat shock 70kDa) binding protein, cytoplasmic cochaperone 1"	HSPBP1	0.0435481	1.24103
hypothetical LOC29092	HSPC157	0.0349136	1.31121
"inhibitor of DNA binding 4, dominant negative helix-loop-helix protein"	ID4	0.0224931	1.26883
isocitrate dehydrogenase 3 (NAD  ) beta	IDH3B	0.0338663	1.40345
"insulin-like growth factor binding protein 2, 36kDa"	IGFBP2	0.0279271	1.23532
insulin-like growth factor binding protein 5	IGFBP5	0.0462643	1.45622
insulin-like growth factor binding protein-like 1	IGFBPL1	0.0130072	1.2679
"immunoglobulin lambda locus /// BMS1 homolog, ribosome assembly protein "	IGL@ /// LOC96610	0.00757865	1.32485
immunoglobulin lambda variable 6 ? 57	IGLV6 ? 57	0.000949349	1.3114
interleukin 17 receptor B	IL17RB	0.0374243	1.40129
interleukin 1 receptor accessory protein-like 1	IL1RAPL1	0.00897779	1.86809
IMP (inosine monophosphate) dehydrogenase 2	IMPDH2	0.0346733	1.38433
indolethylamine N-methyltransferase	INMT	0.0259916	1.30905
insulin induced gene 1	INSIG1	0.0219383	1.28162
inositol hexakisphosphate kinase 3	IP6K3	0.0334455	1.2804
integrin alpha FG-GAP repeat containing 1	ITFG1	0.0460542	1.25009
jumonji domain containing 1C	JMJD1C	0.029792	1.60612
"potassium voltage-gated channel, shaker-related subfamily, beta member 1"	KCNAB1	0.000737417	1.25548
"potassium inwardly-rectifying channel, subfamily J, member 10"	KCNJ10	0.00600073	1.24513
"potassium inwardly-rectifying channel, subfamily J, member 12"	KCNJ12	0.0164031	1.24095
"Potassium channel, subfamily K, member 9"	KCNK9	0.0163606	1.28021
"potassium large conductance calcium-activated channel, subfamily M, beta member"	KCNMB4	0.034706	2.28311
"potassium intermediate/small conductance calcium-activated channel, subfamily N,"	KCNN3 /// LOC100133958	0.0412988	1.81259
potassium channel tetramerisation domain containing 7	KCTD7	0.0220908	1.21088
lysine (K)-specifi c demethylase 4B	KDM4B	0.025302	1.41614
KIAA0090	KIAA0090	0.00544153	1.63267
KIAA0141	KIAA0141	0.02604	1.26555
KIAA0391	KIAA0391	0.0203425	2.38239
KIAA0831	KIAA0831	0.0382891	1.43974
KIAA1033	KIAA1033	0.024465	1.52041
KIAA1432	KIAA1432	0.0305623	1.5748
KIAA1529	KIAA1529	0.0457568	1.33405
KIAA1549	KIAA1549	0.0218602	1.49613
KIAA1919	KIAA1919	0.0281146	1.46089
KIAA2013	KIAA2013	0.00332868	1.74961
"kinase D-interacting substrate, 220kDa"	KIDINS220	0.0273811	1.21313
kinesin family member 1B	KIF1B	0.0246919	1.63592
kinesin family member 26A	KIF26A	0.0280261	1.61637
"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail,"	KIR3DL2 /// LOC727787	0.0308559	1.2138
Kruppel-like factor 10	KLF10	0.0490547	1.39808
Kruppel-like factor 2 (lung)	KLF2	0.018245	1.52751
Kelch-like 35 (Drosophila)	KLHL35	0.0486479	1.20552
kallikrein-related peptidase 14	KLK14	0.0257458	1.24216
Kynureninase (L-kynurenine hydrolase)	KYNU	0.0464222	1.20653
l(3)mbt-like (Drosophila)	L3MBTL	0.00234129	1.53985
"laminin, beta 1"	LAMB1	0.0479311	1.66856
LAS1-like (S. cerevisiae)	LAS1L	0.0250851	1.57793
linker for activation of T cells /// spinster homolog 1 (Drosophila)	LAT /// SPNS1	0.0310878	1.55568
limb bud and heart development homolog (mouse)	LBH	0.0423946	1.80862
late cornifi ed envelope 2B	LCE2B	0.0378715	1.26331
lactate dehydrogenase C	LDHC	0.0466456	1.2863
lymphoid enhancer-binding factor 1	LEF1	0.00785473	1.30387
lens epithelial protein	LENEP	0.0187564	1.25241
leptin receptor overlapping transcript-like 1	LEPROTL1	0.0135454	1.58848
leucine-rich repeat-containing G protein-coupled receptor 4	LGR4	0.0292939	1.44255
LIM homeobox 6	LHX6	0.0210674	2.52408
"hypothetical protein LOC100127998 /// syntrophin, gamma 1"	LOC100127998 /// SNTG1	0.00113642	1.64787
similar to hCG2033298	LOC100129196	0.0218442	1.3207
similar to PRO2474	LOC100130332	0.0430471	1.51531
hypothetical protein LOC100130360	LOC100130360	0.0348046	1.43056
similar to hCG1815675 /// RAD9 homolog A (S. pombe)	LOC100130987 /// RAD9A	0.0477292	1.48918
hypothetical LOC100131053	LOC100131053	0.0413334	1.21969
"hypothetical protein LOC100131349 /// 5 Åå , 3 Åå- nucleotidase, cytosolic"	LOC100131349 /// NT5C	0.0282271	1.24761
similar to hCG2020760	LOC100131993	0.0444556	1.28757
hypothetical LOC100190986	LOC100190986	0.0203124	1.53705
hypothetical LOC154872	LOC154872	0.0325613	1.22434
hypothetical protein LOC202181	LOC202181	0.00633582	1.26974
hypothetical LOC219347	LOC219347	0.0399719	1.34542
hypothetical LOC254559	LOC254559	0.0352225	1.45638
hypothetical protein LOC283547	LOC283547	0.00959422	1.22052
hypothetical protein LOC284701	LOC284701	0.0336419	1.29135
hypothetical LOC284805	LOC284805	0.0211799	1.48958
hypothetical protein LOC285771	LOC285771	1.23E-05	2.4246
hypothetical LOC339290	LOC339290	0.00101764	1.25263
hypothetical LOC339874	LOC339874	0.00192881	1.28187
hypothetical LOC388692	LOC388692	0.014183	1.84691
hypothetical LOC389634	LOC389634	0.0479031	1.39126
hypothetical gene supported by NM_175889	LOC439914	0.0162181	1.32389
Hypothetical LOC441242	LOC441242	0.00101476	1.43631
similar to protein-tyrosine phosphatase	LOC442113	0.00598662	1.23356
hypothetical LOC554206	LOC554206	0.00824703	1.5494
hypothetical LOC642346	LOC642346	0.0300913	1.51219
hypothetical LOC642852	LOC642852	0.0339143	1.80112
similar to prothymosin alpha	LOC643287	0.0334398	1.31804
p21-activated kinase 2 pseudogene	LOC646214	0.0273483	1.53569
p21-activated kinase 2 pseudogene /// p21 protein (Cdc42/Rac)-activated kinase 2	LOC646214 /// PAK2	0.0338923	1.3593
hypothetical protein LOC646588	LOC646588	0.0425553	1.23433
hypothetical LOC651250	LOC651250	0.00835259	1.20305
similar to cis-Golgi matrix protein GM130 /// similar to cis-Golgi matrix protei	LOC727751 /// LOC727849 /// LOC80154	0.0310388	1.21046
Hypothetical protein LOC728342	LOC728342	0.00745468	1.20934
hypothetical LOC728450	LOC728450	0.00874434	1.26506
Programmed cell death 6 pseudogene /// Regulator of G-protein signaling 8	LOC728613 /// RGS8	0.0268995	1.41255
hypothetical LOC731789	LOC731789	0.0171605	1.22977
"loss of heterozygosity, 12, chromosomal region 2"	LOH12CR2	0.00949665	1.29767
"Lon peptidase 2, peroxisomal"	LONP2	0.035348	1.6033
LIM domain containing preferred translocation partner in lipoma	LPP	0.0473075	1.44235
leucine-rich repeats and calponin homology (CH) domain containing 1	LRCH1	0.00607705	1.40693
leucine-rich repeats and calponin homology (CH) domain containing 4	LRCH4	0.0091225	1.43838
leucine-rich repeats and immunoglobulin-like domains 2	LRIG2	0.0180998	1.28301
leucine rich repeat containing 3B	LRRC3B	0.0197932	2.02877
"leucine rich repeat containing 8 family, member C"	LRRC8C	0.0181689	1.31238
leucine-rich repeats and transmembrane domains 2	LRTM2	0.0310394	1.32053
large subunit GTPase 1 homolog (S. cerevisiae)	LSG1	0.00514049	1.70112
"LSM14B, SCD6 homolog B (S. cerevisiae)"	LSM14B	0.0216297	1.23576
lysophospholipase II	LYPLA2	0.00477649	1.21826
