"","ensembl_id","type","str","symbol","length","chr","total","non_zero","Schizophrenia.A162a","Schizophrenia.A162b","Schizophrenia.A162c","Schizophrenia.A128a","Schizophrenia.A128b","Schizophrenia.A128c","Schizophrenia.A212a","Schizophrenia.A212b","Schizophrenia.A212c","Schizophrenia.A67a","Schizophrenia.A67b","Schizophrenia.A67c","Normal.B272a","Normal.B272b","Normal.B272c","Normal.B190a","Normal.B190b","Normal.B190c","Normal.B367a","Normal.B367b","Normal.B367c","Normal.B226a","Normal.B226b","Normal.B226c","FoldChange","p.value"
"285","ENSG00000148450.8","protein_coding","+","MSRB2",1803,"chr10",48,48,10.0418,9.09692,8.64412,9.67613,10.1069,13.5881,8.08276,9.04388,9.64539,9.8087,8.09021,7.38011,12.1943,11.3972,12.2647,10.8851,10.6579,13.0816,9.50902,9.3404,12.4186,11.7894,8.75671,11.3411,0.847114509462755,0.0095253641684794
"330","ENSG00000148840.6","protein_coding","+","PPRC1",5330,"chr10",48,48,9.14925,9.64024,10.3932,9.05686,8.73722,8.48295,9.95367,8.90478,8.44403,10.4043,9.95915,9.18354,10.4712,10.1261,9.76193,8.94966,10.2354,9.31266,9.71182,9.38984,9.71454,15.3076,12.09,11.9248,0.884355317961929,0.0426781872698536
"334","ENSG00000148848.10","protein_coding","-","ADAM12",8828,"chr10",48,48,0.883235,1.28246,1.63112,1.13201,1.41142,0.83481,1.40967,1.2204,1.42884,1.07552,1.14296,1.00127,1.47515,3.39342,1.66993,1.35858,1.12526,1.15642,1.86739,2.65996,1.74373,0.972858,1.64271,1.89161,0.689683761306117,0.0217981633230492
"347","ENSG00000150867.9","protein_coding","-","PIP4K2A",4017,"chr10",48,48,5.55996,6.32336,6.70539,4.93338,4.34256,4.71053,4.60619,5.50902,6.02008,5.59736,4.58682,4.4009,5.05228,5.60859,5.28903,5.12319,5.43237,6.30975,7.51013,7.08569,5.53044,7.69684,6.47785,5.38729,0.873000526181858,0.0431763285397601
"427","ENSG00000165568.13","protein_coding","+","AKR1E2",1632,"chr10",48,48,1.29565,1.15621,0.830421,0.726504,0.858918,0.85433,0.802667,0.535259,0.548808,1.3106,0.705624,0.698862,1.13994,0.758515,0.797045,0.417557,0.898067,0.75497,0.505066,0.581357,0.53593,0.263125,0.358305,0.522058,1.37067738901092,0.0363980179002586
"447","ENSG00000165732.8","protein_coding","+","DDX21",4711,"chr10",48,48,13.6897,19.9344,19.4182,13.9142,18.5472,15.2631,16.0581,17.9863,21.1667,20.6525,22.1862,18.9848,21.181,18.8667,17.1191,21.148,20.1531,18.5319,21.9758,19.9382,20.6824,25.6594,28.226,18.1576,0.865530489685232,0.031489366694976
"451","ENSG00000165806.15","protein_coding","+","CASP7",2977,"chr10",48,48,1.33177,0.585079,0.625954,0.853439,0.99404,1.33813,1.98011,1.17372,1.20343,2.66362,2.57883,2.23486,1.30664,1.95436,1.01953,2.33484,1.96929,1.1825,2.65803,1.83253,1.82155,3.60614,3.79098,2.28955,0.681635601107509,0.0488182171238345
"539","ENSG00000175395.11","protein_coding","-","ZNF25",4139,"chr10",48,48,27.3954,33.4904,31.8429,25.0038,27.0936,22.9547,23.1433,23.4971,33.5411,24.1243,22.4701,23.79,25.4566,25.1826,25.107,23.5109,20.2627,25.8984,24.973,24.4128,26.5413,16.6518,14.029,17.1676,1.1825934262206,0.0267949386754376
"562","ENSG00000179133.7","protein_coding","-","C10orf67",2799,"chr10",48,48,0.708231,0.414857,0.726285,0.72617,0.278225,0.426969,0.175503,0.572167,0.373323,0.465956,0.293875,0.339568,0.0604234,0.0884528,0.103273,0.243463,0.290906,0.440197,0.176692,0.254227,0.562468,0.306838,0.27159,0.243515,1.80836530634062,0.00670589786933344
"669","ENSG00000198246.7","protein_coding","+","SLC29A3",2257,"chr10",48,48,0.644092,0.900344,0.600464,1.12569,0.759085,0.441252,0.652945,0.451543,1.02516,1.06325,0.607411,0.673781,0.599468,0.822705,0.832477,0.905785,1.65952,0.935839,0.803451,1.78657,0.852548,2.37826,1.37315,1.50997,0.618615213285603,0.0154093744638712
"751","ENSG00000204149.5","protein_coding","+","AGAP6",2772,"chr10",48,48,12.2049,7.43544,11.306,11.3653,8.14712,8.40699,7.2657,10.2943,8.2931,7.97958,9.93081,8.53761,7.93155,6.20735,7.97735,8.7517,7.81348,9.58816,8.20699,5.8186,5.99499,7.12601,7.1723,10.3273,1.19642594616329,0.0249021356918761
"923","ENSG00000224914.2","lincRNA","+","LINC00863",3287,"chr10",48,48,3.89995,7.06532,4.43228,4.99841,8.62384,5.15071,5.28046,3.72059,6.94834,4.82482,4.63788,5.20479,5.40253,7.45676,7.38703,5.30733,6.53974,6.31879,7.02144,6.78314,6.8119,5.68292,6.29762,5.70245,0.844557378181802,0.0487745237254454
"1051","ENSG00000232903.2","lincRNA","-","RP13-137A17.4",2619,"chr10",48,48,0.958748,0.720476,0.970252,1.16412,1.07045,0.836576,0.625216,0.889441,0.82646,1.69313,0.628145,1.05243,0.581186,0.519926,0.993339,0.104078,0.12436,1.27694,0.692397,0.543399,0.868292,0.491889,0.133964,0.325314,1.71830197785633,0.00729821993564238
"1095","ENSG00000235618.3","pseudogene","-","RP11-324H6.5",2177,"chr10",48,48,0.485644,0.866756,1.01161,1.08926,1.35933,0.82344,0.526508,0.869396,0.891404,0.934574,0.7053,0.567564,0.699185,0.739213,0.531119,0.626047,0.523632,0.64682,0.378625,0.435817,0.482115,0.887638,0.644652,0.469636,1.4340416779732,0.00693039225549946
"1171","ENSG00000241058.1","protein_coding","-","NSUN6",2201,"chr10",48,48,11.1081,11.4087,12.9306,10.0812,10.8268,7.78263,7.29074,9.65752,10.2072,8.10613,8.0225,6.08877,6.83877,6.91782,9.39024,8.4214,6.80697,9.19665,9.06282,8.6213,9.29873,7.41387,7.14669,6.50321,1.18712305269055,0.0380253173465073
"1370","ENSG00000273008.1","lincRNA","-","RP11-351D16.3",1511,"chr10",48,48,2.44895,2.30547,1.90596,1.68146,2.98925,0.922745,1.19205,1.73437,2.22284,1.45008,1.52426,0.56612,2.35051,2.5397,3.8261,1.62358,2.37107,2.79575,2.61845,4.2384,4.63077,1.13678,1.31579,1.91714,0.667756927997796,0.0333998395109818
"1461","ENSG00000085063.10","protein_coding","-","CD59",2732,"chr11",48,48,61.289,58.4418,52.5828,40.7948,40.6479,57.3046,47.7687,50.1466,34.0132,40.3293,56.8443,51.3147,48.2241,37.5175,37.4024,45.0976,31.8307,32.3426,39.9462,39.3297,42.7714,37.8807,49.871,49.2737,1.20344378983315,0.0134323832345536
"1472","ENSG00000089597.12","protein_coding","-","GANAB",3923,"chr11",48,48,70.0699,60.7158,64.9469,80.9549,73.3294,71.5386,83.6042,78.6032,70.3,88.4456,88.7066,78.9338,96.3534,79.2342,76.668,85.1859,85.6796,69.6346,82.3217,81.2009,85.8808,97.3664,95.9484,86.3509,0.890709346651207,0.0146865709094695
"1484","ENSG00000109906.9","protein_coding","+","ZBTB16",2601,"chr11",48,48,0.914574,1.22771,0.651311,0.911691,1.31738,0.612629,2.32931,1.17547,3.30002,2.32662,2.29805,2.04634,1.43051,1.80854,3.00064,1.41478,1.8157,3.38362,1.6479,1.82386,2.28663,4.0449,3.08002,2.22745,0.68340470345491,0.0445775494095354
"1503","ENSG00000110047.13","protein_coding","-","EHD1",4939,"chr11",48,48,13.7267,11.9316,13.274,12.6546,14.3799,12.1791,14.0238,11.6142,13.0567,14.9249,11.7246,12.9318,15.5462,12.1559,15.1291,12.666,15.1672,13.1148,15.2537,13.591,14.3795,16.1717,14.3732,16.8019,0.897170751739889,0.00864458207908362
"1516","ENSG00000110092.3","protein_coding","+","CCND1",4405,"chr11",48,48,8.61038,14.4324,13.7678,14.1502,18.386,12.1634,19.7013,14.3773,28.7708,8.02955,6.90909,6.88296,25.7623,14.8098,21.2613,15.2843,18.3737,18.181,20.5459,12.4924,17.9891,62.2926,55.0239,31.9524,0.529292187405942,0.0268657876873996
"1572","ENSG00000110717.6","protein_coding","+","NDUFS8",791,"chr11",48,48,90.7214,58.9034,63.6075,84.5825,71.6728,91.4067,96.0521,85.2192,58.4082,62.5229,60.5911,73.8974,63.2882,56.4957,65.048,62.5455,66.9103,56.9659,65.858,60.273,70.7671,53.7453,63.1327,83.3687,1.16812476444511,0.0333767865767835
"1658","ENSG00000133818.8","protein_coding","-","RRAS2",2810,"chr11",48,48,4.13869,4.39061,4.64209,3.85775,3.54734,4.46562,3.43804,4.87028,5.57792,6.10797,5.09341,4.803,5.41681,5.15423,5.55492,4.70469,4.57833,3.94626,6.62934,5.99315,4.98014,8.02296,5.61863,6.06404,0.824029941422218,0.0187936222999278
"1708","ENSG00000137522.13","protein_coding","+","RNF121",2775,"chr11",48,48,13.0965,15.064,11.2327,12.7568,14.8173,9.54633,12.2734,12.1719,13.6634,13.1784,13.6154,11.9877,13.6519,14.0518,15.2083,11.1979,13.6148,14.3984,14.9705,14.6163,16.6417,14.1592,12.3062,14.6759,0.905075256839667,0.0340722805439736
"1713","ENSG00000137672.8","protein_coding","-","TRPC6",4612,"chr11",48,48,0.458477,0.755325,0.955021,0.624338,0.540331,0.302313,0.17752,0.157839,0.339852,1.0859,0.891756,0.329732,0.366706,1.50308,0.846126,0.23641,0.459029,0.686965,0.786378,1.33717,1.44129,0.698319,0.786095,1.44093,0.625055980555505,0.0477175810868405
"1725","ENSG00000137713.11","protein_coding","-","PPP2R1B",6032,"chr11",48,48,2.78246,4.45166,3.93184,3.65041,3.38251,2.57562,2.76888,3.4515,3.8977,3.18269,3.63641,3.49802,3.98139,4.24809,3.23469,4.13481,4.83257,3.8518,3.96282,4.16819,4.00199,5.802,5.26394,3.98315,0.800725690871389,0.00294988216503932
"1738","ENSG00000142102.11","protein_coding","+","ATHL1",4047,"chr11",48,48,0.359208,0.143463,0.251158,0.795208,0.230912,0.344519,1.69935,1.0073,0.86681,1.46953,1.1382,0.446222,1.17013,1.0094,0.857114,2.05429,1.44862,1.13082,1.79233,0.703317,0.86448,3.02408,3.29438,1.72631,0.458807636337119,0.00741569947681536
"1756","ENSG00000149089.8","protein_coding","-","APIP",1556,"chr11",48,48,30.7458,21.7349,29.2868,11.8653,12.9125,11.1367,14.5223,21.614,14.4863,18.1718,16.4229,14.3545,12.717,10.9788,9.84593,18.5691,13.9197,18.3256,13.5612,11.4329,16.9756,13.1089,12.2888,11.1702,1.33371493181475,0.0437962436119836
"1760","ENSG00000149115.9","protein_coding","-","TNKS1BP1",6042,"chr11",48,48,12.3144,12.9725,12.3928,13.6524,14.8223,11.4722,12.6833,11.8313,12.5261,17.4758,12.18,11.3261,13.0161,14.9154,14.233,11.8425,15.471,15.4982,15.4158,14.5253,13.5784,21.2151,20.6241,21.3775,0.811889058819356,0.0117735712406368
"1783","ENSG00000149292.12","protein_coding","+","TTC12",3202,"chr11",48,48,3.9622,2.26652,2.43369,4.17894,3.06442,4.97642,6.28998,6.82029,5.10484,3.61692,5.3604,2.96831,4.48958,1.5464,2.30202,4.76719,2.49207,3.07835,2.57423,1.85192,2.45838,3.62096,4.03593,2.60761,1.42479952345648,0.024286023245056
"1801","ENSG00000149485.12","protein_coding","-","FADS1",7905,"chr11",48,48,23.5222,25.4491,28.8879,25.1551,27.3869,22.6268,28.6474,23.335,30.1762,27.7373,27.7897,24.143,33.9106,26.6684,28.4308,23.8271,27.2961,31.6405,27.1523,26.8849,30.7146,37.7541,35.9359,31.2561,0.871041526383553,0.0128674948614916
"1802","ENSG00000149489.4","protein_coding","+","ROM1",2013,"chr11",48,48,0.984768,0.721054,0.757404,0.841427,0.773723,0.791579,1.54552,0.650926,0.852793,0.829304,1.00793,0.519373,0.504098,0.430466,0.358994,0.677052,0.323596,0.961835,0.491367,0.824816,0.260697,0.959954,0.871465,0.846496,1.36813012559454,0.0389206238389092
"1832","ENSG00000149809.10","protein_coding","+","TM7SF2",1750,"chr11",48,48,40.4019,24.7167,31.7515,42.7804,25.8991,33.121,38.1758,39.9334,33.4378,36.6371,30.0194,26.667,46.002,31.4779,37.4954,36.7595,35.1755,50.0891,44.8401,33.6137,39.7835,32.7586,36.7225,51.6067,0.847197866160569,0.0312162706021177
"1847","ENSG00000150768.11","protein_coding","+","DLAT",4458,"chr11",48,48,9.10091,13.1539,13.8702,11.4743,12.787,12.0635,12.3781,10.7119,15.9556,12.6384,10.3327,11.4489,13.961,12.9676,14.0057,14.3078,11.2877,13.9375,14.2,12.8759,14.2438,14.9786,12.9071,11.7346,0.904019892532742,0.0465195619476224
"1855","ENSG00000151117.4","protein_coding","+","TMEM86A",3595,"chr11",48,48,3.45554,5.12763,3.48708,4.09902,5.71879,3.82295,2.55067,4.0093,4.06927,2.94581,2.22704,2.45875,3.19903,3.16791,4.10074,3.37409,3.35212,2.74183,2.75138,2.37523,3.06549,2.26953,1.85429,2.22776,1.27530786498605,0.0383498061527167
"1885","ENSG00000156599.6","protein_coding","+","ZDHHC5",4815,"chr11",48,48,9.79847,10.1287,10.0271,10.7995,10.0922,9.47299,10.3722,10.341,11.5638,11.0946,10.6257,9.9684,10.4671,12.8803,11.7966,10.2466,12.7844,12.9042,12.4282,11.2316,12.6791,13.1992,12.3509,12.3509,0.855253438811553,4.43000974082844e-05
"1893","ENSG00000158483.11","protein_coding","+","FAM86C1",2195,"chr11",48,48,0.301038,1.05803,0.694603,0.617327,0.567655,0.453715,1.41737,1.12758,1.46215,1.23588,1.94865,1.81863,1.6951,0.845943,1.71198,1.30392,1.03868,1.68398,1.8776,0.864487,1.03602,2.05417,2.13122,1.78551,0.704581662146999,0.0418286152604604
"1944","ENSG00000165923.11","protein_coding","-","AGBL2",3933,"chr11",48,47,0.268814,0.147621,0.215365,0.258397,0.158404,0.253218,0.208167,0.296141,0.189773,0.450985,0.418284,0.265827,0.129005,0.125898,0.183741,0.207918,0.0828118,0.0895071,0.0838309,0.0603086,0.0889537,0.109184,0.460904,0.216628,1.70284051673526,0.0168777768822515
"1958","ENSG00000166181.8","protein_coding","+","API5",4060,"chr11",48,48,22.0043,34.142,33.4639,23.1958,31.2268,23.156,25.3279,26.4286,32.6679,29.6435,29.1744,28.7945,29.2844,29.9717,27.3754,30.3465,32.1688,31.6482,32.4428,31.7816,30.0737,36.1728,35.8197,28.7497,0.902591108392426,0.0474565337900553
"2015","ENSG00000167244.13","protein_coding","-","IGF2",6979,"chr11",48,48,1.21192,0.707127,0.703937,1.06787,0.66951,0.428101,0.469248,0.68842,1.08016,0.209301,0.212151,0.163425,1.2359,5.09065,1.30469,0.937376,0.560021,0.882727,0.637777,0.611762,0.852204,2.95345,8.70553,5.68894,0.258347069842474,0.0370559311874807
"2037","ENSG00000167986.9","protein_coding","-","DDB1",4871,"chr11",48,48,111.401,99.7056,97.8666,110.891,101.233,102.064,102.697,109.873,104.426,101.434,99.7559,106.323,117.53,107.881,112.96,109.374,107.084,99.517,102.818,103.477,111.435,120.557,120.168,108.306,0.944412602461421,0.0178531291388261
"2045","ENSG00000168003.12","protein_coding","+","SLC3A2",2715,"chr11",48,48,38.5515,21.2243,28.6399,44.1072,28.5686,37.1951,37.8149,45.9025,31.6146,29.8599,29.5292,31.9618,52.6374,39.0747,31.8873,47.6891,31.9701,34.6845,44.4467,43.5073,44.199,32.503,30.7992,48.578,0.840226998713422,0.0447304566794309
"2060","ENSG00000168092.9","protein_coding","+","PAFAH1B2",6302,"chr11",48,48,22.04,27.4773,25.4028,21.5285,27.5813,25.4744,23.0988,22.1089,24.7885,25.4302,24.5209,28.5498,23.67,29.3269,27.4521,22.0591,26.6678,28.0698,28.9318,30.2608,31.3937,25.9614,25.09,26.1467,0.916842470897311,0.0400226361557064
"2071","ENSG00000170145.4","protein_coding","+","SIK2",9678,"chr11",48,48,8.13855,10.0785,8.24449,9.45079,10.2514,6.95631,8.96718,10.1543,12.0155,9.06128,7.82496,9.01545,11.0443,12.1513,10.8421,10.3084,12.2331,12.4764,11.2764,13.5042,11.6944,10.2053,7.37135,6.51456,0.84984702805801,0.032949066434558
"2095","ENSG00000171067.6","protein_coding","-","C11orf24",2274,"chr11",48,48,8.42683,7.65954,9.38661,10.8003,9.79433,9.89774,10.081,9.34749,7.25373,7.38708,9.23597,9.69679,11.751,10.2342,9.78793,8.87027,10.2408,9.21103,12.3966,10.535,9.76947,11.8024,10.723,10.3409,0.867142729817782,0.00538349218847519
"2150","ENSG00000172922.4","protein_coding","-","RNASEH2C",3198,"chr11",48,48,14.6289,11.6191,12.1837,13.1881,10.8606,13.5777,13.6709,15.7973,10.4558,8.28691,10.9743,8.44054,7.77404,8.39974,8.36091,11.5919,10.4391,8.91637,10.3613,8.90032,10.8851,10.1379,13.22,10.8165,1.19933252189132,0.0236563807675599
"2159","ENSG00000173120.10","protein_coding","+","KDM2A",7708,"chr11",48,48,15.6194,16.8724,17.2527,18.3487,18.0038,12.7395,14.9553,13.9017,16.5292,17.3263,17.5794,15.6847,19.5718,18.774,18.207,15.3477,18.1484,17.8802,17.6873,15.5401,17.5654,19.6938,15.8023,18.2382,0.916956530334252,0.0335705784907859
"2235","ENSG00000175505.9","protein_coding","-","CLCF1",1986,"chr11",48,46,0.399262,0.219257,0.3412,0.76758,0.548969,0.300878,0.98939,0.586467,0.300656,0.735506,0.855966,0.19143,1.27738,0.747974,0.509424,0.960759,0.573991,0.53177,0.581055,1.91092,0.0880803,1.29734,0.912757,0.943805,0.603425926014619,0.0443432547346729
"2247","ENSG00000175575.8","protein_coding","+","PAAF1",2417,"chr11",48,48,20.7775,14.8331,16.9616,14.366,13.7256,16.6465,14.6333,18.0708,14.2667,13.4036,13.2725,12.6229,13.9246,14.9039,12.4379,13.4204,13.2732,15.0018,13.3001,14.1315,14.4748,12.6143,13.4999,11.2801,1.13137724366382,0.0320459281731552
"2251","ENSG00000175592.4","protein_coding","-","FOSL1",1840,"chr11",48,48,0.430943,0.31554,0.736548,1.1967,0.592529,0.541253,0.533948,0.949503,1.0141,0.396933,0.476844,0.361585,1.65448,0.67277,0.628395,1.40735,0.885051,0.860947,2.68783,1.03128,1.04576,1.28359,0.572041,1.01869,0.548903476997398,0.0139159870246782
"2289","ENSG00000177054.9","protein_coding","+","ZDHHC13",2445,"chr11",48,48,15.4047,16.5629,15.6588,11.5691,12.7403,12.8714,12.8584,14.827,14.6223,11.9273,13.6139,11.2344,13.2118,10.7335,11.9408,16.1096,9.05829,12.5983,10.788,11.7384,11.5903,12.4698,11.9103,9.75703,1.15492200054515,0.0186912247955551
"2361","ENSG00000181830.7","protein_coding","+","SLC35C1",4505,"chr11",48,48,3.60825,4.8329,4.81331,5.63971,4.80562,6.32251,5.70651,4.94458,4.22479,4.92155,4.77161,5.44321,5.06812,5.57809,5.38983,5.20354,5.67533,5.54811,6.66001,6.84465,6.48455,5.62392,4.46515,5.06849,0.887956463109854,0.0401609737790205
"2382","ENSG00000182359.10","protein_coding","-","KBTBD3",4887,"chr11",48,48,0.594931,0.772223,0.90128,0.554546,0.669277,0.815146,0.770639,0.476662,0.840001,0.75792,0.740586,0.641803,0.449893,0.709251,0.32532,0.641433,0.566491,0.576274,0.77586,0.339749,0.608506,0.615088,0.634171,0.348679,1.29500577706668,0.00895474629022835
"2408","ENSG00000183908.5","protein_coding","+","LRRC55",5410,"chr11",48,48,7.35285,7.35132,7.01422,7.85844,8.32012,7.76843,8.20234,7.45444,8.98138,9.89367,12.0824,3.60153,10.1913,9.26706,11.2205,9.42193,9.12077,10.6065,9.47679,8.76871,8.5362,9.28689,8.47406,10.6775,0.833399667843594,0.021756816068876
"2462","ENSG00000186907.3","protein_coding","+","RTN4RL2",2387,"chr11",48,48,0.996567,0.425655,0.496792,0.922467,0.978742,0.584109,0.548786,0.853903,0.812981,1.74842,0.941902,1.15472,0.637673,0.881619,1.45318,0.513873,1.43269,1.25357,1.79564,1.09306,0.952684,1.70904,2.08228,1.99882,0.662171512267459,0.0239558604484753
"2470","ENSG00000187486.5","protein_coding","-","KCNJ11",2959,"chr11",48,48,1.65251,1.03012,2.00379,2.00347,1.26327,2.4906,1.49412,1.9189,1.63956,1.72778,1.40845,1.44543,1.88615,1.33872,1.90493,1.98057,1.37588,2.26043,2.2285,1.6032,2.60115,2.24941,2.35166,3.57039,0.792000627983365,0.0475451211326668
"2514","ENSG00000197345.8","protein_coding","-","MRPL21",1094,"chr11",48,48,56.0515,25.4739,32.054,34.9906,29.1854,66.8185,46.8482,57.2247,28.518,33.2848,28.3208,28.8437,26.7446,26.9305,24.9692,31.145,20.9888,19.307,34.0557,28.8361,29.1013,35.327,32.9792,35.8244,1.35067075129228,0.0347644054698924
"2636","ENSG00000207112.1","snoRNA","-","SNORA25",134,"chr11",48,48,13.8073,6.49918,16.4349,8.84817,17.4347,8.91855,4.88788,14.1244,7.79799,6.61838,10.2308,4.96505,10.097,3.69521,1.07859,11.188,2.43059,10.5084,6.15125,7.0804,7.83257,4.80693,7.41851,5.08656,1.55824029283218,0.0323005892305679
"3056","ENSG00000255121.2","lincRNA","-","RP11-110I1.12",1359,"chr11",48,48,0.58347,1.81569,1.3712,1.12172,1.7191,0.879387,1.56635,1.28557,1.59271,0.959683,1.8965,1.18894,0.248896,1.91286,2.23337,2.10603,1.31813,1.94278,2.4261,2.26896,1.67333,1.57991,3.01197,1.37925,0.723039513996869,0.040741634363487
"3150","ENSG00000255545.3","processed_transcript","+","RP11-627G23.1",3679,"chr11",48,48,2.11938,1.73594,1.79582,1.28911,1.31238,0.86624,0.934663,1.46421,1.90703,0.950063,0.670744,0.878374,1.05732,1.07672,0.785707,0.66682,0.354117,1.24393,0.851377,0.902612,1.09359,0.466887,0.492725,0.787386,1.62835085233533,0.00498677780126698
"3384","ENSG00000047617.10","protein_coding","-","ANO2",3735,"chr12",48,48,0.389214,0.310893,0.680345,0.498841,0.458703,0.533283,0.657607,0.46776,0.319734,1.01962,0.278957,0.279919,0.769779,1.09372,0.503052,0.474371,1.22083,0.989647,0.52965,0.889079,0.327843,0.804802,0.563618,0.456224,0.683652928954847,0.0389376588591965
"3403","ENSG00000060982.10","protein_coding","-","BCAT1",8798,"chr12",48,48,1.66735,3.76151,4.40941,2.23323,3.94775,1.06405,1.34003,1.65481,4.30114,9.33315,3.82077,2.8196,2.2491,5.76878,2.38202,4.01219,9.93978,7.12226,14.428,7.1983,5.58702,11.5189,10.282,3.85423,0.478439241483957,0.0104439517302548
"3421","ENSG00000069431.6","protein_coding","-","ABCC9",11421,"chr12",48,48,0.0231426,0.0889622,0.0741642,0.029661,0.0954604,0.0697596,0.0143371,0.0509904,0.0784218,0.105058,0.331298,0.307913,0.103658,0.238453,0.075929,0.0835333,0.384987,0.107881,0.317553,0.207682,0.12253,0.41359,0.337919,0.298397,0.47143958296242,0.0190876486037772
"3439","ENSG00000076108.7","protein_coding","-","BAZ2A",9021,"chr12",48,48,17.7409,25.5832,23.5302,20.297,24.4822,13.1595,15.8462,18.1726,26.9064,25.1965,23.525,19.7128,27.0158,28.9817,29.9924,17.7521,27.6561,25.3263,24.1039,22.4809,23.4633,25.5862,24.8979,25.5004,0.839460359298051,0.0170722979061237
"3448","ENSG00000081760.12","protein_coding","+","AACS",9735,"chr12",48,48,4.87354,4.86064,5.46415,5.06311,4.47972,4.56265,5.28152,5.33906,4.99119,5.05339,4.54018,4.90115,5.43771,5.46785,5.43382,4.56402,5.10211,5.29765,5.43585,5.23848,5.17505,5.60208,5.67634,6.16134,0.919773719158476,0.00630364852037606
